Store,Store_Owner,Region_Level_1,Region_Level_2,Urban_Rural
595,289,Litoměřice,NGO,Rural
596,290,Oulunkaari,NLG,Urban
597,290,Haapavesi-Siikalatva,NLG,Urban
598,103,Dragør Kommune,YIU,Urban
599,291,Ylivieska,JOP,Urban
600,291,Kehys-Kainuu,JOP,Urban
601,124,Benešov,UQM,Rural
602,292,Kajaani,TIG,Urban
603,289,Litoměřice,NGO,Rural
604,293,Litoměřice,NGO,Rural
605,294,Politischer Bezirk Steyr-Land,VFN,Rural
606,295,Rovaniemi,OOO,Urban
607,296,Nový Jičín,LRJ,Rural
608,297,Flandre-Occidentale,LAV,Rural
609,34,Kemi-Tornio,WJO,Urban
610,34,Itä-Lappi,WJO,Urban
611,295,Tunturi-Lappi,OOO,Urban
612,164,Politischer Bezirk Korneuburg,IRG,Rural
613,164,Raaseporin,IRG,Urban
614,34,Loviisa,WJO,Urban
615,298,Politischer Bezirk Spittal an der Drau,OOO,Rural
616,211,Riihimäki,AAR,Urban
617,211,Forssa,AAR,Urban
618,211,Gribskov Kommune,NLX,Rural
619,77,Praha-východ,QDA,Rural
620,124,Benešov,UQM,Rural
621,294,Politischer Bezirk Steyr-Land,VFN,Rural
622,294,Politischer Bezirk Steyr-Land,VFN,Rural
623,291,Etelä-Pirkanmaa,WJO,Urban
624,291,Lounais-Pirkanmaa,WJO,Urban
625,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
626,46,Ylä-Pirkanmaa,TIF,Urban
627,46,Kouvola,UAY,Urban
628,46,Koillis-Savo,TIF,Urban
629,46,Eisenstadt Stadt,TIF,Rural
630,299,Litoměřice,NGO,Rural
631,292,Kajaani,TIG,Urban
632,211,Varkaus,NLG,Urban
633,211,Gribskov Kommune,NLX,Rural
634,211,Sisä-Savo,NLG,Urban
635,295,Politischer Bezirk Spittal an der Drau,OOO,Rural
636,295,Jakobstadsregionen,OOO,Urban
637,295,Raahe,OOO,Urban
638,132,Graz Stadt,MMJ,Rural
639,300,Politischer Bezirk Eferding,ICA,Rural
640,301,Benešov,UQM,Rural
641,4,Nivala-Haapajärvi,IRA,Urban
642,74,Koillismaa,KTR,Urban
